company,company_tier,total_questions,easy_pct,medium_pct,hard_pct,avg_acceptance,median_acceptance,avg_frequency,median_frequency,avg_likes,avg_dislikes,top_category
niantic,Tier_C,3,0.0,100.0,0.0,50.73333333333333,64.3,41.666666666666664,37.5,10061.666666666666,6633.333333333333,Algorithms
nielsen,Tier_C,8,12.5,62.5,25.0,49.2125,47.150000000000006,57.8125,56.25,23053.625,1401.875,Algorithms
nike,Tier_C,13,23.076923076923077,61.53846153846154,15.384615384615385,52.030769230769224,53.3,55.76923076923077,50.0,17891.53846153846,1897.076923076923,Algorithms
nokia,Tier_C,7,57.142857142857146,28.571428571428573,14.285714285714286,53.042857142857144,47.6,76.78571428571429,62.5,12727.142857142857,1437.4285714285713,Algorithms
noon,Tier_C,1,100.0,0.0,0.0,73.2,73.2,12.5,12.5,1057.0,355.0,Algorithms
nordstrom,Tier_C,4,0.0,100.0,0.0,58.0,54.099999999999994,59.375,56.25,13808.25,961.75,Algorithms
notion,Tier_C,1,0.0,0.0,100.0,51.2,51.2,100.0,100.0,4127.0,5076.0,Algorithms
npci,Tier_C,1,100.0,0.0,0.0,44.2,44.2,62.5,62.5,25692.0,1873.0,Algorithms
nuro,Tier_C,14,0.0,78.57142857142857,21.428571428571427,57.642857142857146,52.0,42.857142857142854,43.75,6064.571428571428,722.8571428571429,Algorithms
nutanix,Tier_B,65,4.615384615384615,67.6923076923077,27.692307692307693,55.83076923076923,56.6,48.26923076923077,50.0,10632.953846153847,786.9230769230769,Algorithms
nvidia,Tier_A,133,24.81203007518797,64.66165413533835,10.526315789473685,58.11578947368421,57.5,49.43609022556391,50.0,12376.751879699248,1376.8646616541353,Algorithms
nykaa,Tier_C,4,0.0,75.0,25.0,50.300000000000004,49.75,53.125,56.25,11713.25,1838.0,Algorithms
observeai,Tier_C,2,0.0,50.0,50.0,43.5,43.5,50.0,50.0,1009.0,129.5,Algorithms
odoo,Tier_C,2,50.0,50.0,0.0,51.2,51.2,50.0,50.0,20361.5,1409.5,Algorithms
okta,Tier_C,20,0.0,75.0,25.0,55.84000000000001,56.849999999999994,61.25,62.5,14222.4,964.4,Algorithms
okx,Tier_C,1,0.0,100.0,0.0,64.4,64.4,62.5,62.5,23763.0,561.0,Algorithms
olx,Tier_C,2,0.0,50.0,50.0,54.6,54.6,62.5,62.5,5789.5,4421.0,Algorithms
openai,Tier_C,15,6.666666666666667,80.0,13.333333333333334,58.80666666666668,53.6,46.666666666666664,37.5,5251.133333333333,524.1333333333333,Algorithms
opentext,Tier_C,5,80.0,20.0,0.0,57.67999999999999,47.6,62.5,62.5,19144.25,2134.0,Algorithms
oppo,Tier_C,2,50.0,50.0,0.0,49.05,49.05,56.25,56.25,7222.0,299.5,Algorithms
optiver,Tier_C,7,28.571428571428573,57.142857142857146,14.285714285714286,60.19999999999999,56.8,51.785714285714285,37.5,12349.833333333334,1149.5,Algorithms
optum,Tier_C,5,40.0,60.0,0.0,61.760000000000005,57.5,67.5,87.5,22597.8,804.0,Algorithms
oracle,Tier_A,323,19.195046439628484,61.60990712074303,19.195046439628484,57.83622291021671,58.0,44.582043343653254,37.5,9410.620689655172,1112.012539184953,Algorithms
oscar-health,Tier_C,3,0.0,66.66666666666667,33.333333333333336,53.06666666666666,51.5,41.666666666666664,37.5,4857.666666666667,1609.0,Algorithms
otterai,Tier_C,4,0.0,50.0,50.0,56.699999999999996,56.8,34.375,31.25,7138.0,322.25,Algorithms
